pkid,sattag_program,device_id,ptt,body,device_wmo_ref,tag_type,common_name,species,release_lat,release_lon,release_site,state_country,release_date,recovery_date,age_class,sex,length,girth,estimated_mass,actual_mass,sample,comment,pi,institution,abstract,opendap_url,metadata
,ct134,ct134-440-16,167361,14440,,SMRU CTD tag,,,,,,,,,,,,,,,,,,,,,
,ct134,ct134-441-16,167362,14441,,SMRU CTD tag,,,,,,,,,,,,,,,,,,,,,
,kp01,kp01-278-14,136242,13278,Q9900798,SMRU CTD tag,Fishing Vessel,,-49.25,69.167,Kerguelen Islands,French Overseas Territory,1/4/17,,,,,,,,Vessel name: Atlas Cove; gear type: Demersal longline & Stratified Random Trawl,,,,,,
,kp01,kp01-298-14,146572,13298,,SMRU CTD tag,Fishing Vessel,,-49.25,69.167,Kerguelen Islands,French Overseas Territory,1/4/17,,,,,,,,Vessel name: Isla Eden; gear type: Demersal longline,,,,,,
,ct135,ct135-892BAT-12,136218,11892,,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,17/1/17,,subadult,male,250,160,380,360,Bloodspot; whisker (stable isotope),,,,,,
,ct135,ct135-297BAT-13,113394,12297,Q9900902,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,18/1/17,,adult,female,253,85,380,343,Bloodspot; whisker (stable isotope),,,,,,
,ct135,ct135-937BAT-14,136203,12937,Q9900903,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,18/1/17,,adult,female,227,80,320,290,Bloodspot; whisker (stable isotope),,,,,,
,ct135,ct135-939BAT-14,136204,12939,Q9900904,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,19/1/17,,adult,female,241,140,320,318,Bloodspot; whisker (stable isotope),,,,,,
,ct135,ct135-965BAT-14,136212,12965,Q9900905,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,19/1/17,,adult,female,247,90,340,366,Bloodspot; whisker (stable isotope),,,,,,
,ct135,ct135-966BAT-14,136213,12966,,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,20/1/17,,adult,female,228,110,330,323,Bloodspot; whisker (stable isotope),,,,,,
,ct135,ct135-084BAT-14,136217,13084,Q9900909,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,20/1/17,,subadult,male,219,113,330,327,Bloodspot; whisker (stable isotope),,,,,,
,ct135,ct135-184BAT-14,136223,13184,Q9900899,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,18/1/17,,adult,female,240,140,300,330,Bloodspot; whisker (stable isotope),,,,,,
,ct135,ct135-186BAT-14,136222,13186,Q9900900,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,19/1/17,,adult,female,235,140,350,344,Bloodspot; whisker (stable isotope),,,,,,
,ct135,ct135-188BAT-14,136224,13188,Q9900901,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,19/1/17,,adult,female,225,89,350,363,Bloodspot; whisker (stable isotope),,,,,,
,ct135,ct135-190BAT-14,136225,13190,Q9900907,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,18/1/17,,adult,female,238,95,320,358,Bloodspot; whisker (stable isotope),,,,,,
,ct128,ct128-700BAT-12,153232,11700,Q9901009,SMRU CTD tag,Weddell Seal,Leptonychotes weddelli,-66.658,140.001,Dumont d'Urville,French Antarctic Territory,18/11/17,,adult,female,,100,,375,Bloodspot; whisker (stable isotope),,,,,,
,ct128,ct128-246BAT-12,113383,12246,Q9900920,SMRU CTD tag,Weddell Seal,Leptonychotes weddelli,-74.58992,34.05281,Weddell Sea,British Antarctic Territory,3/3/17,,adult,female,250,100,380,,Bloodspot; whisker (stable isotope),,,,,,
,ct128,ct128-261BAT-13,153231,12261,Q9901008,SMRU CTD tag,Weddell Seal,Leptonychotes weddelli,,,Dumont d'Urville,French Antarctic Territory,18/11/17,,adult,female,,85,,258,Bloodspot; whisker (stable isotope),,,,,,
,ct140,ct140-635BAT-13,122393,12635,Q9901014,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,9/1/18,,juvenile,male,255,159,315,304.5,Bloodspot; whisker (stable isotope),,Mark Hindell,IMAS,,,
,ct140,ct140-690BAT-13,122389,12690,Q9901019,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,9/1/18,,juvenile,male,203,162,292.5,270.5,Bloodspot; whisker (stable isotope),,Mark Hindell,IMAS,,,
,ct140,ct140-695BAT-13,122388,12695,Q9901046,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,23/1/18,,adult,female,223,179,,285.5,Bloodspot; whisker (stable isotope),,Mark Hindell,IMAS,,,
,ct140,ct140-699BAT-13,122387,12699,Q9901037,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,21/1/18,,adult,female,257,190,320,388.5,Bloodspot; whisker (stable isotope),,Mark Hindell,IMAS,,,
,ct140,ct140-700BAT-13,122386,12700,Q9901023,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,9/1/18,,adult,female,243,183,,364.5,Bloodspot; whisker (stable isotope),,Mark Hindell,IMAS,,,
,ct140,ct140-956BAT-14,136210,12956,Q9901038,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,21/1/18,,adult,female,237,177,,327.5,Bloodspot; whisker (stable isotope),,Mark Hindell,IMAS,,,
,ct140,ct140-154BAT-15,153775,14154,Q9901034,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,19/1/18,,adult,female,234,169,290,293,Bloodspot; whisker (stable isotope),,Mark Hindell,IMAS,,,
,ct140,ct140-158BAT-15,153777,14158,Q9901032,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,18/1/18,,juvenile,male,242,172,300,312.5,Bloodspot; whisker (stable isotope),,Mark Hindell,IMAS,,,
,ct140,ct140-159BAT-15,153779,14159,Q9901047,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,18/1/18,,juvenile,female,232,166,,270.5,Bloodspot; whisker (stable isotope),,Mark Hindell,IMAS,,,
,ct140,ct140-161-15,153741,14161,Q9901021,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,15/1/18,,adult,female,230,149,,230.5,Bloodspot; whisker (stable isotope),,Mark Hindell,IMAS,,,
,ct140,ct140-162-15,153729,14162,Q9901039,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,15/1/18,,adult,female,226,166,275,297,Bloodspot; whisker (stable isotope),,Mark Hindell,IMAS,,,
,ct140,ct140-163-15,153736,14163,Q9901036,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,21/1/18,,adult,female,255,184,,361.5,Bloodspot; whisker (stable isotope),,Mark Hindell,IMAS,,,
