pkid,sattag_program,device_id,ptt,body,device_wmo_ref,tag_type,common_name,species,release_lat,release_lon,release_site,state_country,release_date,recovery_date,age_class,sex,length,girth,estimated_mass,actual_mass,sample,comment,pi,institution,abstract,opendap_url,metadata
2,ct31,ct31-441_rec-07     ,922498,10441,           ,SMRU CTD tag,Australian Sea Lion,Neophoca cinerea,-36.062,137.48,Little Wiers,South Australia,6/3/08,18/4/08,adult,male,192,116,,,D - tissue; whisker (stable isotope),Recovered at Seal Slide _ Kangaroo Island,Simon Goldsworthy,SARDI,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2007_ct31_South_Australia/ct31-441_rec-07/,7e58537c-c29b-40e8-aba8-659cffcd809c
1,ct31,ct31-441-07         ,22498,10441,           ,SMRU CTD tag,Australian Sea Lion,Neophoca cinerea,-36.062,137.48,Little Wiers,South Australia,6/3/08,18/4/08,adult,male,192,116,,,D - tissue; whisker (stable isotope),Recovered at Seal Slide _ Kangaroo Island,Simon Goldsworthy,SARDI,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2007_ct31_South_Australia/ct31-441-07/,f8783e07-8770-4262-8b88-f3498b96a8d1
3,ct31,ct31-448A-07        ,43850,10448,           ,SMRU CTD tag,Australian Sea Lion,Neophoca cinerea,-34.955,136.031,Lewis Island,South Australia,25/3/08,29/3/08,adult,male,,,,,D - tissue; whisker (stable isotope),Recovered at Dangerous Reed after just a few days,Simon Goldsworthy,SARDI,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2007_ct31_South_Australia/ct31-448A-07/,7c3224f6-b84f-40e7-a60d-add78879dc8e
5,ct31,ct31-448B_rec-07    ,943850,10448,           ,SMRU CTD tag,Australian Sea Lion,Neophoca cinerea,-36.025,137.535,Kangaroo Island,South Australia,3/4/07,14/5/07,adult,male,,,,,D - tissue; whisker (stable isotope),,Simon Goldsworthy,SARDI,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2007_ct31_South_Australia/ct31-448B_rec-07/,4bc2f02c-c8a5-4735-a7f8-53af09f4f3f4
4,ct31,ct31-448B-07        ,43850,10448,           ,SMRU CTD tag,Australian Sea Lion,Neophoca cinerea,-36.025,137.535,Kangaroo Island,South Australia,3/4/07,14/5/07,adult,male,,,,,D - tissue; whisker (stable isotope),,Simon Goldsworthy,SARDI,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2007_ct31_South_Australia/ct31-448B-07/,26b85f30-2b1c-4e21-a9dd-5f4974ef7ebd
21,ct36,ct36-A-09           ,77136,10737,Q9900180,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,,,,,,,,,,,Mark Hindell,IMAS,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2009_ct36_Kerguelen/ct36-A-09/,7a59cf1e-1ec7-46b1-bcfe-1812742c9e53
22,ct36,ct36-B-09           ,77137,10738,Q9900181,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,,,,,,,,,,,Mark Hindell,IMAS,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2009_ct36_Kerguelen/ct36-B-09/,c564e08f-6560-4009-9216-062315783d5c
23,ct36,ct36-C-09           ,77138,10739,Q9900182,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,,,,,,,,,,,Mark Hindell,IMAS,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2009_ct36_Kerguelen/ct36-C-09/,a03d0313-98bf-4abb-90a7-6ca167a0d45c
24,ct36,ct36-D-09           ,77139,10741,Q9900183       ,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,,,,,,,,,,,Mark Hindell,IMAS,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2009_ct36_Kerguelen/ct36-D-09/,c498564a-1022-4cf7-87a4-53e11d2c7693
25,ct36,ct36-E-09           ,77140,10742,Q9900184       ,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,,,,,,,,,,,Mark Hindell,IMAS,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2009_ct36_Kerguelen/ct36-E-09/,15453866-7e9e-4faf-9365-2d7b0e7e5665
26,ct36,ct36-F-09           ,77141,10745,Q9900185       ,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,,,,,,,,,,,Mark Hindell,IMAS,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2009_ct36_Kerguelen/ct36-F-09/,fb73063c-997a-48d3-a19e-c5503e427a63
27,ct36,ct36-R1-09          ,77142,10736,Q9900186       ,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,,,,,,,,,,,Mark Hindell,IMAS,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2009_ct36_Kerguelen/ct36-R1-09/,1cdfdc72-3f4e-4c9f-99bf-cb1d986605aa
28,ct36,ct36-R2-09          ,77143,10680,Q9900187       ,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,,,,,,,,,,,Mark Hindell,IMAS,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2009_ct36_Kerguelen/ct36-R2-09/,b800b4be-1507-4ef1-be5b-2060eb3ccda2
29,ct36,ct36-R3-09          ,77144,10743,Q9900188       ,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,,,,,,,,,,,Mark Hindell,IMAS,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2009_ct36_Kerguelen/ct36-R3-09/,961bbe45-53a4-4dc7-8fff-7cb79fca7b4a
30,ct36,ct36-R4-09          ,77145,10744,Q9900189       ,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,,,,,,,,,,,Mark Hindell,IMAS,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2009_ct36_Kerguelen/ct36-R4-09/,ff15c4c4-741a-4127-9f71-a2ed32c6f557
31,ct61,ct61-01-09          ,42962,11363,Q9900289       ,SMRU CTD tag,Australian Sea Lion,Neophoca cinerea,-32.507,133.25,West Island,South Australia,8/12/09,,adult,male,201,128,,,None,Previously PTT's male - tag posts in flipper - half way trhough moults but grey patch on back fine for glue,Simon Goldsworthy,SARDI,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2009_ct61_Australia/ct61-01-09/,7f206a48-b735-4319-ab8e-86c62fe471f7
32,ct61,ct61-01r-09         ,942962,11363,           ,SMRU CTD tag,Australian Sea Lion,Neophoca cinerea,-32.507,133.25,West Island,South Australia,8/12/09,,adult,male,201,128,,,None,Previously PTT's male - tag posts in flipper - half way trhough moults but grey patch on back fine for glue,Simon Goldsworthy,SARDI,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2009_ct61_Australia/ct61-01r-09/,0390adcf-b1e7-4efe-86e5-37456891bc21
33,ct61,ct61-02-09          ,55956,11359,Q9900287       ,SMRU CTD tag,Australian Sea Lion,Neophoca cinerea,-36.05,136.707,Cape du Couedic,South Australia,5/11/09,,adult,male,200,130,,,None,prime male - fully moulted; excellent condition,Simon Goldsworthy,SARDI,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2009_ct61_Australia/ct61-02-09/,45676d1e-bc51-4280-a6e0-61150bb33cc5
34,ct61,ct61-03-09          ,55957,11354,Q9900286       ,SMRU CTD tag,Australian Sea Lion,Neophoca cinerea,-33.595,134.765,West Waldegrave Island,South Australia,6/12/09,,adult,male,192,115,,,D - tissue; whisker (stable isotope),,Simon Goldsworthy,SARDI,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2009_ct61_Australia/ct61-03-09/,7ede61da-cbbe-4fd8-8f95-a24517e309fe
35,ct61,ct61-04-09          ,55958,11402,Q9900295       ,SMRU CTD tag,Australian Sea Lion,Neophoca cinerea,-35,135.619,Liguanea Island,South Australia,26/11/09,9/3/10,adult,male,185,120,,,D - tissue; whisker (stable isotope),Tag recovered on Dangerous Reef - male put on a lot of mass since deployment,Simon Goldsworthy,SARDI,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2009_ct61_Australia/ct61-04-09/,546d8297-f1ac-4a74-93ba-b939a868a5da
36,ct61,ct61-06-09          ,55965,11401,Q9900294       ,SMRU CTD tag,Australian Sea Lion,Neophoca cinerea,-34.703,135.288,Prise Island,South Australia,26/11/09,,adult,male,186,,,,D - tissue; whisker (stable isotope),Very healthy beefed up male,Simon Goldsworthy,SARDI,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2009_ct61_Australia/ct61-06-09/,23b90c77-b0a0-4210-b3a8-6221ccf215c7
37,ct61,ct61-07-09          ,55972,11399,Q9900293       ,SMRU CTD tag,Australian Sea Lion,Neophoca cinerea,-35.994,137.316,Kangaroo Island,South Australia,28/12/09,,adult,male,187,147.5,,,,,Simon Goldsworthy,SARDI,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2009_ct61_Australia/ct61-07-09/,a3619205-3b15-41e7-9c15-b6e3b233a5b1
38,ct61,ct61-08-09          ,55977,11366,Q9900292       ,SMRU CTD tag,Australian Sea Lion,Neophoca cinerea,-35.994,137.316,Kangaroo Island,South Australia,6/11/09,,adult,male,207,129,,,D - tissue; whisker (stable isotope),Prime male - fully moulted,Simon Goldsworthy,SARDI,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2009_ct61_Australia/ct61-08-09/,517e08f3-c4bb-48a3-8c90-3959ffa2c944
39,ct61,ct61-09-09          ,42963,11360,Q9900288       ,SMRU CTD tag,Australian Sea Lion,Neophoca cinerea,-33.16,134.131,Nicolas Baudin Island,South Australia,7/12/09,,adult,male,187,116,,,D - tissue; whisker (stable isotope),,Simon Goldsworthy,SARDI,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2009_ct61_Australia/ct61-09-09/,d26d9d3c-1cef-4939-8779-aca98883a3c9
40,ct61,ct61-10-09          ,52472,11365,Q9900291       ,SMRU CTD tag,Australian Sea Lion,Neophoca cinerea,-36.025,137.535,Kangaroo Island,South Australia,6/11/09,,adult,male,190,107,,,D - tissue; whisker (stable isotope),,Simon Goldsworthy,SARDI,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2009_ct61_Australia/ct61-10-09/,c84e19b0-b52c-409f-b3b5-52022370a6d7
,ct64,ct64-11454-11,54721,11454,           ,,,,,,,,,,,,,,,,,,Rob Harcourt,Macquarie University,,,
,ct64,ct64-11465-11,54979,11465,           ,,,,,,,,,,,,,,,,,,Rob Harcourt,Macquarie University,,,
,ct64,ct64-C643-10,54643,11471,           ,,,,,,,,,,,,,,,,,,Rob Harcourt,Macquarie University,,,
6,ct64,ct64-M001-09        ,55001,11451,Q9900315       ,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-54.4994444,158.935833,Macquarie Island,Tasmania,20/1/10,,adult,female,2330,1610,323,311,,,Rob Harcourt,Macquarie University,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2009_2011_ct64_Casey_Macquarie/ct64-M001-09/,96c6722c-84fb-4418-941d-91fb937b723b
7,ct64,ct64-M036-09        ,55036,11452,Q9900316       ,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-54.4994444,158.935833,Macquarie Island,Tasmania,22/1/10,,adult,female,2590,1830,364,364,,,Rob Harcourt,Macquarie University,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2009_2011_ct64_Casey_Macquarie/ct64-M036-09/,c47df191-f52d-48cb-9ddd-652e1c7e3c0f
8,ct64,ct64-M037-09        ,55037,11453,Q9900317       ,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-54.4994444,158.935833,Macquarie Island,Tasmania,17/1/10,,adult,female,2370,1440,328,364,,,Rob Harcourt,Macquarie University,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2009_2011_ct64_Casey_Macquarie/ct64-M037-09/,2684317b-bf57-4335-9890-cb99b4c62a5f
9,ct64,ct64-M040-09        ,55040,11462,Q9900318       ,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-54.4994444,158.935833,Macquarie Island,Tasmania,3/2/10,,adult,female,2330,1670,292,295,,,Rob Harcourt,Macquarie University,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2009_2011_ct64_Casey_Macquarie/ct64-M040-09/,d4be9b87-1566-447e-bead-0cd0762e25ff
10,ct64,ct64-M043-09        ,55043,11463,Q9900319       ,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-54.4994444,158.935833,Macquarie Island,Tasmania,28/1/10,,adult,female,2330,1540,249,245,,,Rob Harcourt,Macquarie University,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2009_2011_ct64_Casey_Macquarie/ct64-M043-09/,0572ffba-7049-454e-b1e9-10a777d72045
11,ct64,ct64-M044-09        ,55044,11467,Q9900332       ,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-54.4994444,158.935833,Macquarie Island,Tasmania,5/2/10,,adult,female,2350,1690,310,317,,,Rob Harcourt,Macquarie University,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2009_2011_ct64_Casey_Macquarie/ct64-M044-09/,a5e1ab22-e35f-479d-8c7c-8c757acfe0c6
12,ct64,ct64-M052-09        ,55052,11466,Q9900331       ,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-54.4994444,158.935833,Macquarie Island,Tasmania,3/2/10,,adult,female,2410,1720,358,352,,,Rob Harcourt,Macquarie University,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2009_2011_ct64_Casey_Macquarie/ct64-M052-09/,69afd82b-9d31-407d-9331-ee3b4b455769
13,ct64,ct64-M053-09        ,55053,11455,Q9900320       ,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-54.4994444,158.935833,Macquarie Island,Tasmania,20/1/10,,adult,female,2400,1780,309,296,,,Rob Harcourt,Macquarie University,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2009_2011_ct64_Casey_Macquarie/ct64-M053-09/,39362d9c-af10-426c-8a40-3d5bbb149327
14,ct64,ct64-M059-09        ,55059,11470,Q9900330       ,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-54.4994444,158.935833,Macquarie Island,Tasmania,5/2/10,,adult,female,2700,1880,378,378,,,Rob Harcourt,Macquarie University,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2009_2011_ct64_Casey_Macquarie/ct64-M059-09/,020249c5-ad2a-4c32-8b79-39a57bf46124
15,ct64,ct64-M061-09        ,55061,11468,Q9900333       ,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-54.4994444,158.935833,Macquarie Island,Tasmania,5/2/10,,adult,female,2420,1800,384,384,,,Rob Harcourt,Macquarie University,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2009_2011_ct64_Casey_Macquarie/ct64-M061-09/,a993bc7c-8e32-40ea-8ea4-53d253b50863
16,ct64,ct64-M721-09        ,54721,11454,Q9900336       ,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-54.4994444,158.935833,Macquarie Island,Tasmania,25/1/10,,adult,female,2470,1780,394,373,,,Rob Harcourt,Macquarie University,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2009_2011_ct64_Casey_Macquarie/ct64-M721-09/,e94673d8-12a9-491b-bee6-c39c4193731c
17,ct64,ct64-M746-09        ,54746,11449,Q9900335       ,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-54.4994444,158.935833,Macquarie Island,Tasmania,25/1/10,,adult,female,2360,1600,335,319,,,Rob Harcourt,Macquarie University,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2009_2011_ct64_Casey_Macquarie/ct64-M746-09/,dbe1e98e-f447-4cf6-bb1c-412baae171ab
18,ct64,ct64-M752-09        ,54752,11464,Q9900334       ,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-54.4994444,158.935833,Macquarie Island,Tasmania,31/1/10,,adult,female,2490,1740,416,395,,,Rob Harcourt,Macquarie University,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2009_2011_ct64_Casey_Macquarie/ct64-M752-09/,8d190314-30e7-4792-a7e3-cc624703a6da
19,ct64,ct64-M979-09        ,54979,11465,Q9900321       ,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-54.4994444,158.935833,Macquarie Island,Tasmania,22/1/10,,adult,female,2360,1680,338,339,,,Rob Harcourt,Macquarie University,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2009_2011_ct64_Casey_Macquarie/ct64-M979-09/,e63070bf-a6fe-4c50-ad85-03ef3b3249d0
20,ct64,ct64-M994-09        ,54994,11457,Q9900329       ,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-54.4994444,158.935833,Macquarie Island,Tasmania,31/1/10,,adult,female,2320,1610,315,305,,,Rob Harcourt,Macquarie University,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2009_2011_ct64_Casey_Macquarie/ct64-M994-09/,1d7aa5b4-b039-4810-93a1-e1d11e478bc4
48,ct76,ct76-073-11         ,55956,11073,           ,SMRU CTD tag,Australian Sea Lion,Neophoca cinerea,-33.595,134.765,West Waldegrave Island,South Australia,10/2/11,,adult,male,194,122,,,D - tissue; whisker (stable isotope),Good condition adult males - just completed moult,Simon Goldsworthy,SARDI,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2011_ct76_Australia/ct76-073-11/,65930feb-2677-4605-bcd6-9b0bbd21ac67
49,ct76,ct76-364-11         ,55961,11364,Q9900290       ,SMRU CTD tag,Australian Sea Lion,Neophoca cinerea,-33.595,134.765,Nicolas Baudin Island,South Australia,10/2/11,,adult,male,194,122,,,D - tissue; whisker (stable isotope),Good condition adult males - just completed moult,Simon Goldsworthy,SARDI,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2011_ct76_Australia/ct76-364-11/,7548ae38-5aae-4dd8-8ded-f82946dfd323
