site_name,site_code,wmo_id,owner,state,waverider_type,longitude,latitude,timezone,frequency,date_of_installation,water_depth,instrument_model,instrument_maker
Cape Du Couedic,COUEDIC,55040,Bureau of Meteorology,SA,Non-Directional,136.62,-36.07,09:30:00,10 minutes,,80,Waverider FL,Datawell
Cape Sorell,SORELL,55026,Bureau of Meteorology,TAS,Non-Directional,145.03,-42.12,10:00:00,10 minutes,,100,Waverider FL,Datawell
